House,Class_1,Class_2,Theta_0,Theta_1,Theta_2
Gryffindor,Divination,Flying,-0.009279244685443031,0.002746546481690525,0.011235162049996828
Gryffindor,Muggle Studies,History of Magic,-0.009279244552918913,-0.0039331753670688785,-0.01158775897663877
Gryffindor,Muggle Studies,Transfiguration,-0.009279244517129357,-0.0039337901722993965,-0.011753395726319619
Gryffindor,Muggle Studies,Flying,-0.009279244523104675,-0.003938184832451017,0.01123644818079272
Gryffindor,Ancient Runes,History of Magic,-0.009279244731329692,0.00625621777857392,-0.011580515547638877
Gryffindor,Ancient Runes,Transfiguration,-0.009279244666671642,0.006257189449768722,-0.011746565905357567
Gryffindor,Ancient Runes,Charms,-0.009279244295612391,0.006288139649356263,-0.007057517579159182
Gryffindor,Ancient Runes,Flying,-0.009279244889637835,0.00625303774041827,0.01122545346505876
Gryffindor,History of Magic,Transfiguration,-0.009279243965005245,-0.011552962926456389,-0.01171888603128152
Gryffindor,History of Magic,Potions,-0.00927924475635138,-0.011577382832444054,-0.0063265651618387205
Gryffindor,History of Magic,Care of Magical Creatures,-0.009279244464995852,-0.011592306221905973,-0.0008091240522019543
Gryffindor,History of Magic,Charms,-0.00927924473374527,-0.011577406905089776,-0.007023966697093284
Gryffindor,History of Magic,Flying,-0.009279244405421345,-0.011552456384480669,0.011198277841004477
Gryffindor,Transfiguration,Potions,-0.00927924466173821,-0.011743520943470373,-0.00632760677852372
Gryffindor,Transfiguration,Care of Magical Creatures,-0.009279244423144479,-0.011757657795762301,-0.0008088966626735582
Gryffindor,Transfiguration,Charms,-0.009279244650035651,-0.011742516968440687,-0.007023185132543886
Gryffindor,Transfiguration,Flying,-0.009279244237599167,-0.011718921422240776,0.011198837477479837
Gryffindor,Potions,Flying,-0.009279244858083176,-0.006329189142577881,0.011225470051251605
Gryffindor,Care of Magical Creatures,Flying,-0.00927924449320976,-0.0008097284483584436,0.011239428548022854
Gryffindor,Charms,Flying,-0.009279244571322143,-0.00703294040442307,0.011229631554697493
Hufflepuff,Astronomy,Herbology,-0.00535879569448328,0.009279612672649241,0.007634668576364663
Hufflepuff,Astronomy,Ancient Runes,-0.005358795836504469,0.009272232849114105,-0.009614643197358882
Hufflepuff,Astronomy,History of Magic,-0.005358795394159749,0.00928818449592549,0.005108577052310758
Hufflepuff,Astronomy,Transfiguration,-0.0053587954048129735,0.00928840991581344,0.004759841049173416
Hufflepuff,Herbology,Defense Against the Dark Arts,-0.00535879569448328,0.007634668576364663,-0.00927961267264924
Hufflepuff,Herbology,Ancient Runes,-0.00535879568032429,0.007633380716604897,-0.009620738496942534
Hufflepuff,Defense Against the Dark Arts,Ancient Runes,-0.005358795836504469,-0.009272232849114104,-0.009614643197358882
Hufflepuff,Defense Against the Dark Arts,History of Magic,-0.005358795394159749,-0.009288184495925486,0.005108577052310758
Hufflepuff,Defense Against the Dark Arts,Transfiguration,-0.0053587954048129735,-0.00928840991581344,0.004759841049173416
Hufflepuff,Divination,Ancient Runes,-0.005358795401446305,0.004687057483148125,-0.009630221337522503
